filename,opencv_count,opencv_time_ms,nano_count,nano_time_ms
001.jpg,91,56.1961,91,49.2539
002.jpg,91,35.256,91,36.8994
003.jpg,86,35.7452,86,36.0865
004.jpg,91,54.151,91,52.0997
005.jpg,87,54.2708,87,53.1739
006.jpg,91,54.665,91,55.4616
007.jpg,88,47.1529,88,46.1177
008.jpg,92,55.2835,92,54.0064
009.jpg,87,48.7227,87,52.4811
010.jpg,87,46.4088,87,47.6636
011.jpg,88,46.3617,88,47.0582
012.jpg,81,42.8747,81,41.2421
013.jpg,84,28.3593,84,28.5418
014.jpg,75,27.7083,75,27.6422
015.jpg,85,32.9181,85,33.7128
016.jpg,84,36.3019,84,37.4945
017.jpg,91,31.0767,91,32.1724
018.jpg,91,37.3574,91,37.5371
019.jpg,90,35.5507,90,35.95
020.jpg,89,35.5049,89,34.6686
021.jpg,82,32.8304,82,32.4476
022.jpg,31,19.9959,23,21.2852
023.jpg,65,30.8811,65,31.5132
024.jpg,92,38.0855,92,38.052
025.jpg,92,40.3108,92,40.6071
026.jpg,92,43.7764,92,43.9359
027.jpg,91,43.8249,91,40.5482
028.jpg,93,39.3237,93,38.6601
029.jpg,90,43.1498,90,43.2098
030.jpg,90,41.3993,90,40.5584
031.jpg,86,30.6291,86,30.7613
032.jpg,89,29.1653,89,30.7174
033.jpg,93,33.9695,93,35.2134
034.jpg,87,32.4021,87,32.6372
035.jpg,90,32.1345,90,33.3508
036.jpg,52,29.4599,47,30.8506
037.jpg,64,34.2961,63,34.3599
038.jpg,92,37.432,92,38.0434
039.jpg,89,31.7369,89,31.2494
040.jpg,56,28.5956,55,28.7333
041.jpg,61,31.8193,60,32.4944
042.jpg,122,35.1152,123,35.2697
043.jpg,135,36.2166,135,35.3402
044.jpg,139,38.268,139,38.3061
045.jpg,139,33.6048,139,33.1468
046.jpg,139,35.3193,139,35.4993
047.jpg,141,36.4765,142,36.4684
048.jpg,141,38.9052,142,34.9433
049.jpg,145,34.7678,145,36.3585
050.jpg,143,36.6087,143,36.5559
051.jpg,143,33.1821,143,32.3447
052.jpg,147,34.243,145,34.4952
053.jpg,146,35.516,146,35.8774
054.jpg,157,42.6357,157,41.7596
055.jpg,145,36.8955,145,37.2588
056.jpg,148,39.1729,148,39.4551
057.jpg,156,40.4467,156,40.4246
058.jpg,154,40.9709,154,40.138
059.jpg,152,39.2888,152,40.813
060.jpg,153,40.1284,153,44.8336
061.jpg,151,37.4794,151,38.2053
062.jpg,150,36.7087,150,37.3992
063.jpg,146,36.4871,146,36.9354
064.jpg,154,35.35,154,35.4412
065.jpg,151,32.8419,151,33.1783
066.jpg,154,36.4863,154,35.8468
067.jpg,157,36.9218,157,37.4442
068.jpg,152,33.7015,152,34.0377
069.jpg,154,35.1557,154,35.2821
070.jpg,148,34.5933,148,35.1545
071.jpg,154,34.9856,154,35.2296
072.jpg,129,34.3629,128,35.6524
073.jpg,91,37.753,88,37.268
074.jpg,118,36.5039,118,36.6646
075.jpg,154,37.2671,154,37.5534
076.jpg,155,37.6399,155,37.5246
077.jpg,155,36.4275,155,37.526
078.jpg,151,38.631,151,38.3834
079.jpg,149,43.6243,149,42.8013
080.jpg,152,43.0898,152,42.8854
081.jpg,141,52.3823,140,49.1134
082.jpg,135,46.4605,135,45.3846
083.jpg,142,45.7572,142,45.4914
084.jpg,143,40.1104,143,39.9868
085.jpg,150,41.36,150,40.5231
086.jpg,147,37.4567,147,38.0651
087.jpg,128,38.208,128,37.6035
088.jpg,135,42.9774,134,43.6575
089.jpg,156,46.5214,156,47.0792
090.jpg,160,47.3184,160,46.3527
091.jpg,158,46.1523,158,47.7043
092.jpg,158,42.7407,158,44.0841
093.jpg,150,50.2481,150,49.4389
094.jpg,103,58.3326,100,58.4381
095.jpg,124,65.24,122,67.4269
096.jpg,141,42.0395,141,43.4447
097.jpg,108,50.8893,101,51.0567
098.jpg,101,45.5862,100,45.5642
099.jpg,155,35.1189,155,35.0825
100.jpg,147,36.9957,147,37.7644
101.jpg,154,30.0477,154,29.9755
102.jpg,205,28.5029,205,29.4849
103.jpg,205,28.3853,204,29.7008
104.jpg,207,28.3827,206,28.5921
105.jpg,211,28.7158,211,29.3975
106.jpg,216,26.8796,216,27.076
107.jpg,211,27.5084,211,27.8528
108.jpg,210,26.1359,210,26.5077
109.jpg,219,25.2621,219,26.2942
110.jpg,180,31.7319,180,31.5587
111.jpg,111,36.5543,104,38.1047
112.jpg,145,31.1532,137,31.0744
113.jpg,178,30.7866,174,30.5513
