filename,opencv_count,opencv_time_ms,nano_count,nano_time_ms
001.jpg,232,49.5638,199,49.486
002.jpg,223,38.099,202,39.2119
003.jpg,224,37.3201,205,37.2263
004.jpg,227,37.2806,203,37.0636
005.jpg,225,43.1391,202,42.8113
006.jpg,231,31.7471,202,31.8316
007.jpg,232,33.1625,208,40.188
008.jpg,231,31.8083,203,31.7218
009.jpg,227,34.0214,204,34.6389
010.jpg,231,33.5454,205,33.4953
011.jpg,231,31.8827,204,33.1098
012.jpg,226,32.3963,200,32.7314
013.jpg,225,31.4017,200,31.5143
014.jpg,226,30.3188,203,30.9211
015.jpg,229,32.7488,194,32.4074
016.jpg,226,30.2547,202,31.5866
017.jpg,232,29.4047,208,29.8381
018.jpg,232,30.8162,207,31.1196
019.jpg,224,30.0654,198,30.0765
020.jpg,232,30.9551,200,30.7231
021.jpg,234,30.0686,205,30.4483
022.jpg,233,30.0465,208,32.6471
023.jpg,222,30.8017,199,31.8368
024.jpg,233,35.1975,204,35.3577
025.jpg,230,36.4652,204,36.3404
026.jpg,227,42.4989,205,42.135
027.jpg,233,41.7534,208,42.9626
028.jpg,228,44.4732,200,45.1877
029.jpg,233,45.2004,205,45.2188
030.jpg,227,43.1601,200,43.2907
031.jpg,233,40.5719,204,40.9388
032.jpg,132,45.0457,88,45.1167
033.jpg,130,51.0313,91,53.1872
034.jpg,201,70.6443,172,68.5261
035.jpg,182,82.3498,153,87.0894
036.jpg,189,102.043,162,90.6571
037.jpg,137,94.6449,91,91.4332
038.jpg,132,82.9856,90,83.2989
039.jpg,202,94.7636,176,94.3506
040.jpg,201,110.883,173,110.52
041.jpg,195,72.1831,173,73.536
042.jpg,205,100.697,184,100.355
043.jpg,187,74.9752,163,76.747
044.jpg,203,100.082,176,99.4139
045.jpg,172,51.5455,150,51.7082
046.jpg,185,51.892,160,52.3755
047.jpg,186,55.7011,164,56.0704
048.jpg,183,63.8217,161,64.6523
049.jpg,197,78.7043,169,80.4029
050.jpg,168,119.564,146,119.337
051.jpg,188,142.451,160,147.118
052.jpg,178,167.86,157,164.264
053.jpg,132,179.381,88,177.306
054.jpg,139,194.633,91,192.378
055.jpg,223,107.972,205,113.166
056.jpg,229,91.9377,199,84.1301
057.jpg,221,78.6824,199,80.8278
058.jpg,214,117.085,192,116.881
059.jpg,162,105.834,145,106.153
060.jpg,180,96.5801,158,95.761
061.jpg,174,166.966,153,163.707
062.jpg,171,375.876,142,376.952
063.jpg,167,422.989,141,431.345
064.jpg,191,385.033,169,383.183
065.jpg,191,349.857,164,358.7
066.jpg,200,362.552,172,348.935
067.jpg,191,380.213,164,378.388
068.jpg,190,348.432,170,358.307
069.jpg,197,311.399,161,313.666
070.jpg,185,347.646,159,342.739
071.jpg,181,285.602,152,289.82
072.jpg,162,142,145,141.049
073.jpg,180,101.035,157,101.544
074.jpg,214,80.9547,191,82.0203
075.jpg,209,87.1078,184,95.5054
076.jpg,217,110.3,187,110.393
077.jpg,213,155.484,189,140.769
078.jpg,222,71.8536,205,71.0289
079.jpg,221,54.6167,203,52.9496
080.jpg,223,55.377,207,57.5872
081.jpg,227,60.4725,198,65.768
082.jpg,218,51.0249,188,49.764
083.jpg,229,45.4817,198,46.2503
084.jpg,228,42.9912,197,43.2512
085.jpg,226,41.1905,198,41.2634
086.jpg,226,41.039,199,48.895
087.jpg,227,57.7388,200,46.4282
088.jpg,231,45.5517,206,48.3734
089.jpg,225,50.0716,201,55.6838
090.jpg,224,51.1308,198,50.5556
091.jpg,216,51.7263,193,56.3478
092.jpg,227,54.3875,204,56.2263
093.jpg,234,63.5466,205,63.4423
094.jpg,229,59.7441,201,59.2048
095.jpg,227,61.0511,200,61.451
096.jpg,221,49.2815,189,50.7173
097.jpg,219,53.6238,186,50.8609
098.jpg,219,50.5856,190,51.9566
099.jpg,222,58.3218,196,54.9631
100.jpg,228,71.0366,205,70.4867
101.jpg,232,86.8979,206,85.182
102.jpg,234,101.439,206,107.079
103.jpg,228,102.32,200,103.359
104.jpg,231,92.0507,204,91.4377
105.jpg,229,92.9664,206,94.8964
